ce96c2718b567977fcedc548cf6d58cfee2e1a25,
Test=copyinstr3, Iter=0, ExecCount=5, Mean=12706621.4, Standard Deviation=427070.7280513381
Test=rwsbrk, Iter=0, ExecCount=5, Mean=42468688.8, Standard Deviation=3377336.365052599
Test=truncate1, Iter=0, ExecCount=5, Mean=60038079.6, Standard Deviation=1970841.5549871838
Test=truncate2, Iter=0, ExecCount=5, Mean=52986945.2, Standard Deviation=2469295.244706716
Test=truncate3, Iter=0, ExecCount=5, Mean=562809819.4, Standard Deviation=18307232.406532817
Test=reparent2, Iter=0, ExecCount=5, Mean=1303931837.8, Standard Deviation=9906612.761026254
Test=pgbug, Iter=0, ExecCount=5, Mean=8370717.2, Standard Deviation=1503298.9107959203
Test=sbrkbugs, Iter=0, ExecCount=5, Mean=29402804.8, Standard Deviation=667631.7543288366
Test=badarg, Iter=0, ExecCount=5, Mean=519788832, Standard Deviation=11245164.031613946
Test=reparent, Iter=0, ExecCount=5, Mean=1269476068, Standard Deviation=7494166.042026391
Test=twochildren, Iter=0, ExecCount=5, Mean=2101281837.4, Standard Deviation=9733758.808290059
Test=forkfork, Iter=0, ExecCount=5, Mean=1031693318.4, Standard Deviation=3943661.69859907
Test=forkforkfork, Iter=0, ExecCount=5, Mean=2416619029.4, Standard Deviation=142291080.60236365
Test=argptest, Iter=0, ExecCount=5, Mean=10666382.2, Standard Deviation=1436544.029881681
Test=createdelete, Iter=0, ExecCount=5, Mean=1447200395.4, Standard Deviation=83430208.95843622
Test=linkunlink, Iter=0, ExecCount=5, Mean=613099235.2, Standard Deviation=16684794.75145221
Test=linktest, Iter=0, ExecCount=5, Mean=100119987.2, Standard Deviation=3760812.2256792085
Test=unlinkread, Iter=0, ExecCount=5, Mean=95611381.8, Standard Deviation=2068484.3936909942
Test=concreate, Iter=0, ExecCount=5, Mean=1692413295.8, Standard Deviation=2302500789.292559
Test=subdir, Iter=0, ExecCount=5, Mean=249806484.2, Standard Deviation=4163169.1479977965
Test=fourfiles, Iter=0, ExecCount=5, Mean=300603436.4, Standard Deviation=20338490.264344655
Test=sharedfd, Iter=0, ExecCount=5, Mean=888888333, Standard Deviation=15911517.94033415
Test=dirtest, Iter=0, ExecCount=5, Mean=55840385.2, Standard Deviation=2617279.328485918
Test=exectest, Iter=0, ExecCount=5, Mean=77358423.4, Standard Deviation=4086533.6531419023
Test=bigargtest, Iter=0, ExecCount=5, Mean=60190837.8, Standard Deviation=5163033.666532032
Test=bigwrite, Iter=0, ExecCount=5, Mean=2192327071, Standard Deviation=86299477.50920823
Test=bsstest, Iter=0, ExecCount=5, Mean=13640760.4, Standard Deviation=1379736.7635715154
Test=sbrkbasic, Iter=0, ExecCount=5, Mean=3311119173.8, Standard Deviation=179792855.00638014
Test=sbrkmuch, Iter=0, ExecCount=5, Mean=2346800235.8, Standard Deviation=20843690.56164947
Test=kernmem, Iter=0, ExecCount=5, Mean=287510535, Standard Deviation=26340709.066632897
Test=sbrkfail, Iter=0, ExecCount=5, Mean=2069951399.6, Standard Deviation=20301064.429704968
Test=sbrkarg, Iter=0, ExecCount=5, Mean=69810697.2, Standard Deviation=6336113.639953453
Test=validatetest, Iter=0, ExecCount=5, Mean=124879173.6, Standard Deviation=4131489.86427987
Test=stacktest, Iter=0, ExecCount=5, Mean=13820484.2, Standard Deviation=1230493.0038515863
